Indicator Name,Code,Source
Post-Secondary Non-Tertiary Education Enrolment,UIS_POSTSECONDARYNONTERTIARYEDUCATIONENROLMENT__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Enrolment,UIS_TERTIARYEDUCATIONISCED5AND6ENROLMENT__ALLGENDERS,UN
Private enrolment as percentage of Total enrolment. Pre-Primary,UIS_PRIVATEENROLMENTASPERCENTAGEOFTOTALENROLMENTPREPRIMARY_,UN
Private enrolment as percentage of Total enrolment. First level,UIS_PRIVATEENROLMENTASPERCENTAGEOFTOTALENROLMENTFIRSTLEVEL_,UN
Private enrolment as percentage of Total enrolment. Second level,UIS_PRIVATEENROLMENTASPERCENTAGEOFTOTALENROLMENTSECONDLEVEL__ALLGENDERS,UN
Private enrolment as percentage of Total enrolment. Tertiary,UIS_PRIVATEENROLMENTASPERCENTAGEOFTOTALENROLMENTTERTIARY_,UN
Pre-Primary education (ISCED 0) Gross enrolment ratio,UIS_PREPRIMARYEDUCATIONISCED0GROSSENROLMENTRATIO__ALLGENDERS,UN
Primary education (ISCED 1) Gross enrolment ratio,UIS_PRIMARYEDUCATIONISCED1GROSSENROLMENTRATIO__ALLGENDERS,UN
Lower Secondary education Gross enrolment ratio,UIS_LOWERSECONDARYEDUCATIONGROSSENROLMENTRATIO__ALLGENDERS,UN
Upper Secondary education Gross enrolment ratio,UIS_UPPERSECONDARYEDUCATIONGROSSENROLMENTRATIO__ALLGENDERS,UN
Total Secondary Gross enrolment ratio,UIS_TOTALSECONDARYGROSSENROLMENTRATIO__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Gross enrolment ratio,UIS_TERTIARYEDUCATIONISCED5AND6GROSSENROLMENTRATIO__ALLGENDERS,UN
Combined Gross Enrolment ratio - primary and secondary (ISCED 1-3),UIS_COMBINEDGROSSENROLMENTRATIOPRIMARYANDSECONDARYISCED13__ALLGENDERS,UN
Combined Gross Enrolment ratio - primary to tertiary (ISCED 1-6),UIS_COMBINEDGROSSENROLMENTRATIOPRIMARYTOTERTIARYISCED16__ALLGENDERS,UN
School life expectancy Pre-primary,UIS_SCHOOLLIFEEXPECTANCYPREPRIMARY__ALLGENDERS,UN
School life expectancy ISCED 1,UIS_SCHOOLLIFEEXPECTANCYISCED1__ALLGENDERS,UN
School life expectancy ISCED 1-3,UIS_SCHOOLLIFEEXPECTANCYISCED13__ALLGENDERS,UN
School life expectancy ISCED 1-6,UIS_SCHOOLLIFEEXPECTANCYISCED16__ALLGENDERS,UN
School life expectancy ISCED 2+3,UIS_SCHOOLLIFEEXPECTANCYISCED23__ALLGENDERS,UN
School life expectancy ISCED 5+6,UIS_SCHOOLLIFEEXPECTANCYISCED56__ALLGENDERS,UN
Primary education (ISCED 1) Percentage of Repeaters,UIS_PRIMARYEDUCATIONISCED1PERCENTAGEOFREPEATERS__ALLGENDERS,UN
Secondary education Percentage of Repeaters (general programmes),UIS_SECONDARYEDUCATIONPERCENTAGEOFREPEATERSGENERALPROGRAMMES__ALLGENDERS,UN
Gross intake rate to the last grade of Primary,UIS_GROSSINTAKERATETOTHELASTGRADEOFPRIMARY__ALLGENDERS,UN
Expected gross intake ratio to the last grade of primary,UIS_EXPECTEDGROSSINTAKERATIOTOTHELASTGRADEOFPRIMARY__ALLGENDERS,UN
Gross graduation ratio,UIS_GROSSGRADUATIONRATIO__ALLGENDERS,UN
Expected gross graduation ratio,UIS_EXPECTEDGROSSGRADUATIONRATIO__ALLGENDERS,UN
Pre-Primary education (ISCED 0) Teaching staff,UIS_PREPRIMARYEDUCATIONISCED0TEACHINGSTAFF__ALLGENDERS,UN
Primary education (ISCED 1) Teaching staff,UIS_PRIMARYEDUCATIONISCED1TEACHINGSTAFF__ALLGENDERS,UN
Lower Secondary Teaching Staff,UIS_LOWERSECONDARYTEACHINGSTAFF__ALLGENDERS,UN
Upper Secondary Teaching Staff,UIS_UPPERSECONDARYTEACHINGSTAFF__ALLGENDERS,UN
Total Secondary Teaching Staff,UIS_TOTALSECONDARYTEACHINGSTAFF__ALLGENDERS,UN
Post-Secondary Non-Tertiary Education Teaching Staff,UIS_POSTSECONDARYNONTERTIARYEDUCATIONTEACHINGSTAFF__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Teaching Staff,UIS_TERTIARYEDUCATIONISCED5AND6TEACHINGSTAFF__ALLGENDERS,UN
Pre-Primary education (ISCED 0) Pupil-teacher ratio,UIS_PREPRIMARYEDUCATIONISCED0PUPILTEACHERRATIO_,UN
Primary education (ISCED 1) Pupil-teacher ratio,UIS_PRIMARYEDUCATIONISCED1PUPILTEACHERRATIO_,UN
Lower Secondary Pupil/teacher ratio,UIS_LOWERSECONDARYPUPILTEACHERRATIO_,UN
Upper Secondary Pupil/teacher ratio,UIS_UPPERSECONDARYPUPILTEACHERRATIO_,UN
Total Secondary Pupil/teacher ratio,UIS_TOTALSECONDARYPUPILTEACHERRATIO_,UN
Tertiary education (ISCED 5 and 6) Enrolment by FOS Education,UIS_TERTIARYEDUCATIONISCED5AND6ENROLMENTBYFOSEDUCATION__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Enrolment by FOS Humanities and Arts,UIS_TERTIARYEDUCATIONISCED5AND6ENROLMENTBYFOSHUMANITIESANDARTS__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Enrolment by FOS Social Sciences Business and Law,UIS_TERTIARYEDUCATIONISCED5AND6ENROLMENTBYFOSSOCIALSCIENCESBUSINESSANDLAW__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Enrolment by FOS Science,UIS_TERTIARYEDUCATIONISCED5AND6ENROLMENTBYFOSSCIENCE__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Enrolment by FOS Engineering Manufacturing and Construction,UIS_TERTIARYEDUCATIONISCED5AND6ENROLMENTBYFOSENGINEERINGMANUFACTURINGANDCONSTRUCTION__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Enrolment by FOS Agriculture,UIS_TERTIARYEDUCATIONISCED5AND6ENROLMENTBYFOSAGRICULTURE__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Enrolment by FOS Health and Welfare,UIS_TERTIARYEDUCATIONISCED5AND6ENROLMENTBYFOSHEALTHANDWELFARE__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Enrolment by FOS Services,UIS_TERTIARYEDUCATIONISCED5AND6ENROLMENTBYFOSSERVICES__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Enrolment by FOS General programmes,UIS_TERTIARYEDUCATIONISCED5AND6ENROLMENTBYFOSGENERALPROGRAMMES__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Enrolment by FOS Unspecified,UIS_TERTIARYEDUCATIONISCED5AND6ENROLMENTBYFOSUNSPECIFIED__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Graduates by FOS Education,UIS_TERTIARYEDUCATIONISCED5AND6GRADUATESBYFOSEDUCATION__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Graduates by FOS Humanities and Arts,UIS_TERTIARYEDUCATIONISCED5AND6GRADUATESBYFOSHUMANITIESANDARTS__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Graduates by FOS Social Sciences Business and Law,UIS_TERTIARYEDUCATIONISCED5AND6GRADUATESBYFOSSOCIALSCIENCESBUSINESSANDLAW__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Graduates by FOS Science,UIS_TERTIARYEDUCATIONISCED5AND6GRADUATESBYFOSSCIENCE__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Graduates by FOS Engineering Manufacturing and Construction,UIS_TERTIARYEDUCATIONISCED5AND6GRADUATESBYFOSENGINEERINGMANUFACTURINGANDCONSTRUCTION__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Graduates by FOS Agriculture,UIS_TERTIARYEDUCATIONISCED5AND6GRADUATESBYFOSAGRICULTURE__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Graduates by FOS Health and Welfare,UIS_TERTIARYEDUCATIONISCED5AND6GRADUATESBYFOSHEALTHANDWELFARE__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Graduates by FOS Services,UIS_TERTIARYEDUCATIONISCED5AND6GRADUATESBYFOSSERVICES__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Graduates by FOS General programmes,UIS_TERTIARYEDUCATIONISCED5AND6GRADUATESBYFOSGENERALPROGRAMMES__ALLGENDERS,UN
Tertiary education (ISCED 5 and 6) Graduates by FOS Not known or unspecified,UIS_TERTIARYEDUCATIONISCED5AND6GRADUATESBYFOSNOTKNOWNORUNSPECIFIED__ALLGENDERS,UN
Public expenditure on education as % of GDP,UIS_PUBLICEXPENDITUREONEDUCATIONASOFGDP_,UN
Public expenditure on education as % of GNI,UIS_PUBLICEXPENDITUREONEDUCATIONASOFGNI_,UN
Public expenditure on education as % total government expenditure,UIS_PUBLICEXPENDITUREONEDUCATIONASTOTALGOVERNMENTEXPENDITURE_,UN
Public current expenditure on education as % of total current government expenditure,UIS_PUBLICCURRENTEXPENDITUREONEDUCATIONASOFTOTALCURRENTGOVERNMENTEXPENDITURE_,UN
Public current expenditure on education as % of public expenditure on education,UIS_PUBLICCURRENTEXPENDITUREONEDUCATIONASOFPUBLICEXPENDITUREONEDUCATION_,UN
Current educational expenditure in Pre-primary as % of total current educational expenditure,UIS_CURRENTEDUCATIONALEXPENDITUREINPREPRIMARYASOFTOTALCURRENTEDUCATIONALEXPENDITURE__ALLGENDERS,UN
Current educational expenditure in Lower Secondary as % of total current educational expenditure,UIS_CURRENTEDUCATIONALEXPENDITUREINLOWERSECONDARYASOFTOTALCURRENTEDUCATIONALEXPENDITURE__ALLGENDERS,UN
Current educational expenditure in Upper Secondary as % of total current educational expenditure,UIS_CURRENTEDUCATIONALEXPENDITUREINUPPERSECONDARYASOFTOTALCURRENTEDUCATIONALEXPENDITURE__ALLGENDERS,UN
Current educational expenditure in Post Secondary as % of total current educational expenditure,UIS_CURRENTEDUCATIONALEXPENDITUREINPOSTSECONDARYASOFTOTALCURRENTEDUCATIONALEXPENDITURE__ALLGENDERS,UN
Current educational expenditure in Not allocated by level as % of total current educational expenditure,UIS_CURRENTEDUCATIONALEXPENDITUREINNOTALLOCATEDBYLEVELASOFTOTALCURRENTEDUCATIONALEXPENDITURE__ALLGENDERS,UN
Public current educational expenditure in Primary as % of public current educational expediture,UIS_PUBLICCURRENTEDUCATIONALEXPENDITUREINPRIMARYASOFPUBLICCURRENTEDUCATIONALEXPEDITURE_,UN
Public current educational expenditure in Secondary as % of public current educational expediture,UIS_PUBLICCURRENTEDUCATIONALEXPENDITUREINSECONDARYASOFPUBLICCURRENTEDUCATIONALEXPEDITURE_,UN
Public current educational expenditure in Tertiary as % of public current educational expediture,UIS_PUBLICCURRENTEDUCATIONALEXPENDITUREINTERTIARYASOFPUBLICCURRENTEDUCATIONALEXPEDITURE_,UN
Total public educational expenditure per pupil as a percentage of GDP per capita / Primary,UIS_TOTALPUBLICEDUCATIONALEXPENDITUREPERPUPILASAPERCENTAGEOFGDPPERCAPITAPRIMARY_,UN
Total public educational expenditure per pupil as a percentage of GDP per capita / Secondary,UIS_TOTALPUBLICEDUCATIONALEXPENDITUREPERPUPILASAPERCENTAGEOFGDPPERCAPITASECONDARY_,UN
Total public educational expenditure per pupil as a percentage of GDP per capita / Tertiary,UIS_TOTALPUBLICEDUCATIONALEXPENDITUREPERPUPILASAPERCENTAGEOFGDPPERCAPITATERTIARY_,UN
Total public educational expenditure per pupil as a percentage of GDP per capita / All levels,UIS_TOTALPUBLICEDUCATIONALEXPENDITUREPERPUPILASAPERCENTAGEOFGDPPERCAPITAALLLEVELS_,UN
Public expenditure on Primary as % of public expenditure on education,UIS_PUBLICEXPENDITUREONPRIMARYASOFPUBLICEXPENDITUREONEDUCATION_,UN
Public expenditure on Secondary as % of public expenditure on education,UIS_PUBLICEXPENDITUREONSECONDARYASOFPUBLICEXPENDITUREONEDUCATION_,UN
Public expenditure on Tertiary as % of public expenditure on education,UIS_PUBLICEXPENDITUREONTERTIARYASOFPUBLICEXPENDITUREONEDUCATION_,UN
Teachers salaries as % of current educational expenditure; Primary; public institutions,UIS_TEACHERSSALARIESASOFCURRENTEDUCATIONALEXPENDITUREPRIMARYPUBLICINSTITUTIONS_,UN
Teachers salaries as % of current educational expenditure; Secondary; public institutions,UIS_TEACHERSSALARIESASOFCURRENTEDUCATIONALEXPENDITURESECONDARYPUBLICINSTITUTIONS_,UN
Teachers salaries as % of current educational expenditure; Total all levels; public institutions,UIS_TEACHERSSALARIESASOFCURRENTEDUCATIONALEXPENDITURETOTALALLLEVELSPUBLICINSTITUTIONS_,UN
All personnel salaries as % of current educational expenditure; Primary; public institutions,UIS_ALLPERSONNELSALARIESASOFCURRENTEDUCATIONALEXPENDITUREPRIMARYPUBLICINSTITUTIONS_,UN
All personnel salaries as % of current educational expenditure; Secondary; public institutions,UIS_ALLPERSONNELSALARIESASOFCURRENTEDUCATIONALEXPENDITURESECONDARYPUBLICINSTITUTIONS_,UN
All personnel salaries as % of current educational expenditure; Total all levels; public institutions,UIS_ALLPERSONNELSALARIESASOFCURRENTEDUCATIONALEXPENDITURETOTALALLLEVELSPUBLICINSTITUTIONS_,UN
Percentage of educational current expenditure on teaching materials; Primary; public institutions,UIS_PERCENTAGEOFEDUCATIONALCURRENTEXPENDITUREONTEACHINGMATERIALSPRIMARYPUBLICINSTITUTIONS_,UN
Percentage of educational current expenditure on teaching materials; Secondary; public institutions,UIS_PERCENTAGEOFEDUCATIONALCURRENTEXPENDITUREONTEACHINGMATERIALSSECONDARYPUBLICINSTITUTIONS_,UN
